,cow_id,breed_event_id,first_recheck_DSLB,resolution_DSLB,days_to_resolution,samples_to_resolution,final_status
161,12433.0401430.0,12433.0401430.0_2025_3_4,38,38,0,2,rc_open
162,12443.0401430.0,12443.0401430.0_2023_2_2,36,36,0,2,rc_open
163,12461.0401430.0,12461.0401430.0_2022_12_2,35,35,0,3,rc_open
164,12464.0401430.0,12464.0401430.0_2021_11_1,66,66,0,4,rc_preg
165,12471.0401430.0,12471.0401430.0_2024_9_4,36,36,0,4,rc_loss
166,12474.0401430.0,12474.0401430.0_2025_7_4,35,35,0,3,rc_open
167,12484.0401430.0,12484.0401430.0_2024_10_4,37,37,0,2,rc_open
168,12492.0401430.0,12492.0401430.0_2023_4_5,36,36,0,2,rc_open
169,12497.0401430.0,12497.0401430.0_2025_2_5,35,35,0,3,rc_preg
170,12518.0401430.0,12518.0401430.0_2024_9_3,36,36,0,2,rc_open
171,12529.0401430.0,12529.0401430.0_2022_10_2,36,36,0,3,rc_open
172,12553.0401430.0,12553.0401430.0_2022_11_2,36,36,0,3,rc_loss
173,12553.0401430.0,12553.0401430.0_2022_9_1,36,36,0,2,rc_open
174,12557.0401430.0,12557.0401430.0_2024_11_5,41,41,0,3,rc_preg
175,12557.0401430.0,12557.0401430.0_2024_9_4,37,37,0,1,rc_open
176,12562.0401430.0,12562.0401430.0_2022_1_1,33,33,0,1,rc_open
177,12572.0401430.0,12572.0401430.0_2022_10_1,37,37,0,7,rc_open
178,12579.0401430.0,12579.0401430.0_2024_11_7,37,37,0,3,rc_preg
179,12587.0401430.0,12587.0401430.0_2022_9_1,35,35,0,1,rc_open
180,12593.0401430.0,12593.0401430.0_2025_2_5,35,35,0,2,rc_open
181,12608.0401430.0,12608.0401430.0_2021_12_1,29,29,0,3,rc_open
182,12646.0401430.0,12646.0401430.0_2025_1_3,35,35,0,4,rc_preg
183,1267.0401430.0,1267.0401430.0_2022_10_2,39,39,0,2,rc_open
184,1267.0401430.0,1267.0401430.0_2022_9_1,35,35,0,1,rc_open
185,12675.0401430.0,12675.0401430.0_2022_11_1,36,36,0,3,rc_preg
